Time period and codes,Food and non-alcoholic beverages,,,,,,,,,,,
1997 Q1,"12,939",,,,,,,,,,,
1997 Q2,"13,438",,,,,,,,,,,
1997 Q3,"12,934",,,,,,,,,,,
1997 Q4,"14,051",,,,,,,,,,,
1998 Q1,"13,170",,,,,,,,,,,
1998 Q2,"14,037",,,,,,,,,,,
1998 Q3,"13,841",,,,,,,,,,,
1998 Q4,"14,317",,,,,,,,,,,
1999 Q1,"13,825",,,,,,,,,,,
1999 Q2,"14,950",,,,,,,,,,,
1999 Q3,"14,254",,,,,,,,,,,
1999 Q4,"13,958",,,,,,,,,,,
2000 Q1,"13,873",,,,,,,,,,,
2000 Q2,"14,261",,,,,,,,,,,
2000 Q3,"14,055",,,,,,,,,,,
2000 Q4,"14,807",,,,,,,,,,,
2001 Q1,"14,168",,,,,,,,,,,
2001 Q2,"14,623",,,,,,,,,,,
2001 Q3,"14,523",,,,,,,,,,,
2001 Q4,"15,783",,,,,,,,,,,
2002 Q1,"14,432",,,,,,,,,,,
2002 Q2,"14,831",,,,,,,,,,,
2002 Q3,"14,672",,,,,,,,,,,
2002 Q4,"16,394",,,,,,,,,,,
2003 Q1,"15,157",,,,,,,,,,,
2003 Q2,"16,370",,,,,,,,,,,
2003 Q3,"15,676",,,,,,,,,,,
2003 Q4,"16,707",,,,,,,,,,,
2004 Q1,"16,259",,,,,,,,,,,
2004 Q2,"16,337",,,,,,,,,,,
2004 Q3,"15,748",,,,,,,,,,,
2004 Q4,"17,618",,,,,,,,,,,
2005 Q1,"16,464",,,,,,,,,,,
2005 Q2,"16,792",,,,,,,,,,,
2005 Q3,"16,342",,,,,,,,,,,
2005 Q4,"18,013",,,,,,,,,,,
2006 Q1,"16,981",,,,,,,,,,,
2006 Q2,"17,321",,,,,,,,,,,
2006 Q3,"17,118",,,,,,,,,,,
2006 Q4,"18,589",,,,,,,,,,,
2007 Q1,"17,558",,,,,,,,,,,
2007 Q2,"17,915",,,,,,,,,,,
2007 Q3,"18,108",,,,,,,,,,,
2007 Q4,"19,586",,,,,,,,,,,
2008 Q1,"18,613",,,,,,,,,,,
2008 Q2,"20,051",,,,,,,,,,,
2008 Q3,"19,166",,,,,,,,,,,
2008 Q4,"19,798",,,,,,,,,,,
2009 Q1,"19,150",,,,,,,,,,,
2009 Q2,"20,410",,,,,,,,,,,
2009 Q3,"19,494",,,,,,,,,,,
2009 Q4,"20,782",,,,,,,,,,,
2010 Q1,"18,858",,,,,,,,,,,
2010 Q2,"20,850",,,,,,,,,,,
2010 Q3,"20,163",,,,,,,,,,,
2010 Q4,"21,255",,,,,,,,,,,
2011 Q1,"21,115",,,,,,,,,,,
2011 Q2,"21,396",,,,,,,,,,,
2011 Q3,"21,572",,,,,,,,,,,
2011 Q4,"23,032",,,,,,,,,,,
2012 Q1,"21,724",,,,,,,,,,,
2012 Q2,"21,872",,,,,,,,,,,
2012 Q3,"21,613",,,,,,,,,,,
2012 Q4,"24,302",,,,,,,,,,,
2013 Q1,"22,455",,,,,,,,,,,
2013 Q2,"22,735",,,,,,,,,,,
2013 Q3,"23,146",,,,,,,,,,,
2013 Q4,"24,205",,,,,,,,,,,
2014 Q1,"23,210",,,,,,,,,,,
2014 Q2,"23,290",,,,,,,,,,,
2014 Q3,"23,032",,,,,,,,,,,
2014 Q4,"24,268",,,,,,,,,,,
2015 Q1,"22,692",,,,,,,,,,,
2015 Q2,"22,718",,,,,,,,,,,
2015 Q3,"22,641",,,,,,,,,,,
2015 Q4,"23,824",,,,,,,,,,,
2016 Q1,"23,465",,,,,,,,,,,
2016 Q2,"23,952",,,,,,,,,,,
2016 Q3,"24,321",,,,,,,,,,,
2016 Q4,"25,737",,,,,,,,,,,
2017 Q1,"24,689",,,,,,,,,,,
2017 Q2,"25,841",,,,,,,,,,,
2017 Q3,"25,174",,,,,,,,,,,
2017 Q4,"27,190",,,,,,,,,,,
2018 Q1,"26,051",,,,,,,,,,,
2018 Q2,"26,136",,,,,,,,,,,
2018 Q3,"26,467",,,,,,,,,,,
2018 Q4,"28,276",,,,,,,,,,,
2019 Q1,"26,741",,,,,,,,,,,
2019 Q2,"27,194",,,,,,,,,,,
2019 Q3,"27,147",,,,,,,,,,,
2019 Q4,"29,243",,,,,,,,,,,
2020 Q1,"29,450",,,,,,,,,,,
2020 Q2,"30,490",,,,,,,,,,,
2020 Q3,"29,254",,,,,,,,,,,
2020 Q4,"30,897",,,,,,,,,,,
2021 Q1,"30,636",,,,,,,,,,,
2021 Q2,"30,473",,,,,,,,,,,
2021 Q3,"29,521",,,,,,,,,,,
2021 Q4,"32,012",,,,,,,,,,,
2022 Q1,"29,681",,,,,,,,,,,
2022 Q2,"30,963",,,,,,,,,,,
2022 Q3,"31,491",,,,,,,,,,,
2022 Q4,"34,602",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
