Time period and codes,Restaurant and hotels,,,,
1997 Q1,"12,735",,,,
1997 Q2,"15,725",,,,
1997 Q3,"16,507",,,,
1997 Q4,"15,760",,,,
1998 Q1,"13,589",,,,
1998 Q2,"16,003",,,,
1998 Q3,"17,434",,,,
1998 Q4,"16,714",,,,
1999 Q1,"14,459",,,,
1999 Q2,"16,635",,,,
1999 Q3,"18,140",,,,
1999 Q4,"17,461",,,,
2000 Q1,"15,261",,,,
2000 Q2,"17,531",,,,
2000 Q3,"19,173",,,,
2000 Q4,"18,555",,,,
2001 Q1,"15,959",,,,
2001 Q2,"17,862",,,,
2001 Q3,"19,893",,,,
2001 Q4,"18,714",,,,
2002 Q1,"16,386",,,,
2002 Q2,"18,802",,,,
2002 Q3,"20,842",,,,
2002 Q4,"20,019",,,,
2003 Q1,"17,390",,,,
2003 Q2,"19,965",,,,
2003 Q3,"22,313",,,,
2003 Q4,"20,947",,,,
2004 Q1,"18,281",,,,
2004 Q2,"21,171",,,,
2004 Q3,"23,072",,,,
2004 Q4,"22,174",,,,
2005 Q1,"19,329",,,,
2005 Q2,"22,020",,,,
2005 Q3,"23,948",,,,
2005 Q4,"22,773",,,,
2006 Q1,"19,770",,,,
2006 Q2,"22,865",,,,
2006 Q3,"24,861",,,,
2006 Q4,"22,891",,,,
2007 Q1,"20,003",,,,
2007 Q2,"23,763",,,,
2007 Q3,"26,141",,,,
2007 Q4,"23,865",,,,
2008 Q1,"21,334",,,,
2008 Q2,"24,747",,,,
2008 Q3,"26,327",,,,
2008 Q4,"22,413",,,,
2009 Q1,"19,940",,,,
2009 Q2,"22,765",,,,
2009 Q3,"24,548",,,,
2009 Q4,"22,352",,,,
2010 Q1,"19,290",,,,
2010 Q2,"24,037",,,,
2010 Q3,"25,906",,,,
2010 Q4,"24,380",,,,
2011 Q1,"21,532",,,,
2011 Q2,"24,921",,,,
2011 Q3,"27,188",,,,
2011 Q4,"25,182",,,,
2012 Q1,"22,122",,,,
2012 Q2,"25,931",,,,
2012 Q3,"28,531",,,,
2012 Q4,"27,324",,,,
2013 Q1,"23,415",,,,
2013 Q2,"27,621",,,,
2013 Q3,"30,372",,,,
2013 Q4,"28,266",,,,
2014 Q1,"25,094",,,,
2014 Q2,"29,269",,,,
2014 Q3,"31,792",,,,
2014 Q4,"29,084",,,,
2015 Q1,"26,295",,,,
2015 Q2,"30,310",,,,
2015 Q3,"32,875",,,,
2015 Q4,"30,744",,,,
2016 Q1,"26,904",,,,
2016 Q2,"31,821",,,,
2016 Q3,"35,003",,,,
2016 Q4,"32,958",,,,
2017 Q1,"29,463",,,,
2017 Q2,"34,000",,,,
2017 Q3,"37,578",,,,
2017 Q4,"34,330",,,,
2018 Q1,"30,164",,,,
2018 Q2,"35,580",,,,
2018 Q3,"38,062",,,,
2018 Q4,"35,584",,,,
2019 Q1,"30,777",,,,
2019 Q2,"36,084",,,,
2019 Q3,"39,222",,,,
2019 Q4,"37,091",,,,
2020 Q1,"30,248",,,,
2020 Q2,"7,127",,,,
2020 Q3,"27,537",,,,
2020 Q4,"22,273",,,,
2021 Q1,"13,202",,,,
2021 Q2,"31,097",,,,
2021 Q3,"41,329",,,,
2021 Q4,"34,273",,,,
2022 Q1,"32,555",,,,
2022 Q2,"47,653",,,,
2022 Q3,"46,767",,,,
2022 Q4,"39,231",,,,
,,,,,
,,,,,
